Dept,JobDate,jobno,Vehicleid,UnitNo,Reason,Notes,CostParts,CostLabor,CostTotal
2111,03/27/2015 12:00:00 AM,14415,X01917      ,282,13    SNOW BREAKDOWN,"HYD LEAKSENT TO CAT TO REPAIR/REPLACE MAIN HYDRAULIC CONTROL VALVE AND ASSYHO PENNINVOICE WOCE0581604$9,083.02",9083.02,0,9083.02
2111,03/02/2015 12:00:00 AM,14709,B24602      ,797,22    CONVERSION,INSTALLATION OF A NEW POLYCAST SANDER -FISHERBOBCAT OF STRATFORDINVOICE 02-58848$4995.95,4995.95,0,4995.95
2111,03/05/2015 12:00:00 AM,14773,1227,241,13    SNOW BREAKDOWN,CHECK REAR-END (BROKEN AXLE)TOW FROM CRANE ROADBILLS TOWINGINVOICE 163457$175.00,4972.21,0,4972.21
2111,03/26/2015 12:00:00 AM,14735,B31276      ,177,13    SNOW BREAKDOWN,"CHECK NOISE IN REAR- END (DIFF)TOWED FROM VEHICLE MAINTENANCE TO INTERSTATE FORD IN MILFORDBILLS TOWING, INVOICE 165003$250.00GABRIELLI FORDREPLACE REAR , BEARINGS, SEALSU-JOINTSINVOICE 85031MS      $4570.80",4820.8,0,4820.8
2111,01/09/2015 12:00:00 AM,14107,1467,121,08    PM SERVICE              ***,"REMOVE & REPLACE REAR SPRINGS, CHECK COOLANT TUBESPM SERVIVE",4697.55,0,4697.55
2135,02/24/2015 12:00:00 AM,14282,C36323      ,448,04    DRIVER'S REPORT,DASHPM SERVICECHECK TUNE UP,3497.83,0,3497.83
2143,02/18/2015 12:00:00 AM,14397,4830,354,04    DRIVER'S REPORT,TIRES ?RED LIGHT ON IN DASH UNIT NOT REJENSENT TO GABRIOELLI INVOICE 84461MS$767.64,3172.64,0,3172.64
2135,03/26/2015 12:00:00 AM,14925,C95216      ,435,01    BREAKDOWN            ***,"TRUCK WON'T RUN, TOWED TO GABRIELLI FORD GABRIELLI FORD \RE-MAN TURBO, EGR VALVE, CARRIER BEARINGINVOICE 85032MS$3,106.46",3106.46,0,3106.46
2143,03/26/2015 12:00:00 AM,14618,48877,373,04    DRIVER'S REPORT,CHECK BRAKESHYD LEAK,3076.72,0,3076.72
2143,03/13/2015 12:00:00 AM,14822,B20089      ,31,04    DRIVER'S REPORT,LOW POWER AND ENGINE LITE IS ONSENT TO STAMFORD FORDINVOICE 293481$2981.76,2981.76,0,2981.76
2111,03/26/2015 12:00:00 AM,14802,1244,240,04    DRIVER'S REPORT,"CHECK PLOW FRAME,BOLTS MISSING & ADJUST BRAKES",2776.07,0,2776.07
2111,03/26/2015 12:00:00 AM,14640,1402,228,13    SNOW BREAKDOWN,ROAD CALL TO HIGH RIDGE RDTIRES FELL OFFTOWED IN BY BILLS SERVICEBROKEN LEAF SPRINGSINVOICE #161148$175.00,2502.70,0,2502.70
2143,01/14/2015 12:00:00 AM,14206,50550,357,04    DRIVER'S REPORT,NEED REAR TIRESCHECK HYD OIL,2465.54,0,2465.54
2111,03/26/2015 12:00:00 AM,14450,1403,226,13    SNOW BREAKDOWN,HYD LEAKRIGHT SIDE WIPERREMOVE PARTS FOR OTHER TRUCKS  AXLE AND WIPER MOTOR,2431.62,0,2431.62
2143,01/20/2015 12:00:00 AM,14270,45569,350,04    DRIVER'S REPORT,REAR TIRESCHECK OIL,2389.78,0,2389.78
2143,01/05/2015 12:00:00 AM,14167,5694,368,01    BREAKDOWN            ***,"UNIT SENT TO MDANITARY FOR SCALE SYSTEM ON FRONT FORKSSANITARY EQUIPMENTINVOICE 074644$2,387.46",2387.46,0,2387.46
2143,01/05/2015 12:00:00 AM,14166,5694,368,01    BREAKDOWN            ***,"UNIT SENT TO SANITARY FOR SCALE SYSTEM ON FRONT FORKS REPLACE 2 PROXIMITY SWITCHES AND VULCAN METERSANITARY EQUIPMENTINVOICE 074644$2,387.46",2387.46,0,2387.46
2143,02/24/2015 12:00:00 AM,14551,49618,356,04    DRIVER'S REPORT,REAR TIRES,2384.49,0,2384.49
2111,03/13/2015 12:00:00 AM,14781,B34630      ,168,01    BREAKDOWN            ***,"BREAKDOWN, INSTRUMENT CLUSTER AND HARNESS BURNT UPFUEL SYSTEM NOT WORKINGGABRIELLI MACKINVOICE 84832MS$2,375.24",2375.24,0,2375.24
2111,01/14/2015 12:00:00 AM,14039,1224,222,04    DRIVER'S REPORT,CHECK BRAKE ADJUSTMENT,2305.19,0,2305.19
2143,01/28/2015 12:00:00 AM,14234,49328,358,08    PM SERVICE              ***,PM SERVICEAIR LEAK,2277.02,0,2277.02
2111,03/26/2015 12:00:00 AM,14647,1226,117,38    WARRANTY,LOW COOLANT,2169.18,0,2169.18
2111,03/27/2015 12:00:00 AM,14839,1466,124,40    NEGLIGENCE,BENT SPINNER ASSY,2163.69,0,2163.69
2116,03/26/2015 12:00:00 AM,14285,82039,261,10    ROADCALL,"RADIATOR, FAN",2149.31,0,2149.31
2111,01/14/2015 12:00:00 AM,14142,110294,608,40    NEGLIGENCE,"INSTALL BROOM -MAIN CORE FOR BROOM SECTIONS WAS BENT , OUT OF SHAPE . DAMAGE CAUSING BROOMS SECTION TO NOT LOCK INTO CORE . HAD TO REPLACE EVERYTHING DUE TO DAMAGE .",2139.35,0,2139.35
2111,02/04/2015 12:00:00 AM,14417,1225,119,13    SNOW BREAKDOWN,REAR SPRINGS BROKEN,2102.29,0,2102.29
2111,03/06/2015 12:00:00 AM,14586,1223,220,13    SNOW BREAKDOWN,REAR LEAF SPRINGS,1985.68,0,1985.68
2111,02/11/2015 12:00:00 AM,14538,1243,116,04    DRIVER'S REPORT,COOLANT LEAK,1933.83,0,1933.83
2111,02/24/2015 12:00:00 AM,14394,1365,244,13    SNOW BREAKDOWN,ANTI FREEZE LEAK CHECK REAR LIGHTS,1836.75,0,1836.75
2143,01/20/2015 12:00:00 AM,14271,50760,362,04    DRIVER'S REPORT,CHECK REAR TIRESRIGHT HEAD LIGHT OUT,1810.38,0,1810.38
2111,03/26/2015 12:00:00 AM,14680,1759,131,13    SNOW BREAKDOWN,"AUGER WILL NOT TURNARMSTRONG WELDING, FABRICATE NEW LOCKING DEVICE AND INSTALL, REWELD PINTHAT WAS ROTTED AND REINFORCEINVOICE 20153$1,000.",1774.46,0,1774.46
2111,02/24/2015 12:00:00 AM,14419,110301,607,40    NEGLIGENCE,REPAIR BROOM ATTACCHMENT,1684.14,0,1684.14
2143,01/06/2015 12:00:00 AM,14151,27143,369,04    DRIVER'S REPORT,"CHECK AIMS SYSTEM WILL NOT FUEL UP, C HECK AIR SYSTEM & TIRES",1666.57,0,1666.57
2111,02/19/2015 12:00:00 AM,14453,1366,242,13    SNOW BREAKDOWN,RIGHT SIDE TIRES FEEL OFF,1648.57,0,1648.57
2111,03/27/2015 12:00:00 AM,14788,1469,122,10    ROADCALL,ROAD CALL NO BRAKES,1620.49,0,1620.49
2143,01/06/2015 12:00:00 AM,13802,45569,350,04    DRIVER'S REPORT,"DIESEL FUEL LEAK  UNDER CAB, L/REAR PACKER PISTON LEAKS",1607.45,0,1607.45
2111,02/27/2015 12:00:00 AM,14655,1225,119,13    SNOW BREAKDOWN,NO REAR BRAKES,1585.07,0,1585.07
2143,02/13/2015 12:00:00 AM,14500,5694,368,04    DRIVER'S REPORT,FRONT TIRESCHECK FLUIDS,1574.93,0,1574.93
2111,03/27/2015 12:00:00 AM,14860,1466,124,04    DRIVER'S REPORT,CHECK BRAKES,1563.96,0,1563.96
2111,03/02/2015 12:00:00 AM,14531,1466,124,13    SNOW BREAKDOWN,LEFT REAR FLAT TIRECHECK LEAF SPRINGS,1505.3,0,1505.3
2142,01/02/2015 12:00:00 AM,14143,49617,352,04    DRIVER'S REPORT,FLAT TIRE LEFT REAR OUTSIDE,1497.5,0,1497.5
2111,02/23/2015 12:00:00 AM,14120,68935,149,04    DRIVER'S REPORT,CONVEYOR DOES NOT WORK,1469.58,0,1469.58
2111,03/13/2015 12:00:00 AM,14653,A19527      ,613,04    DRIVER'S REPORT,"NO POWER REDUCED POWER LIGHT ONSENT TO GABRIELLIINVOICE 84829MS$1468.93CLEAN DPF, REPLACE SENSOR AND CLEARED CODES",1468.93,0,1468.93
2111,02/27/2015 12:00:00 AM,14652,1366,242,13    SNOW BREAKDOWN,CHECK SPINNER,1303.83,0,1303.83
2111,03/13/2015 12:00:00 AM,14823,K01711      ,180,04    DRIVER'S REPORT,"CUT OFF OLD EDGE AND WELD NEW ONE ONARMSTRONG WELDINGINVOICE #10$1,260.00",1260,0,1260
2111,02/23/2015 12:00:00 AM,14389,1629,235,13    SNOW BREAKDOWN,ANTI FREEZE LEAKCONVOYOR STAYS ON,1228.88,0,1228.88
2111,03/27/2015 12:00:00 AM,14703,1467,121,13    SNOW BREAKDOWN,CHECK BENT SPINNER ASSY,1218.96,0,1218.96
2111,02/19/2015 12:00:00 AM,14530,1365,244,08    PM SERVICE              ***,OIL LEAK,1206.64,0,1206.64
2142,03/26/2015 12:00:00 AM,14845,48878,346,04    DRIVER'S REPORT,CHECK ALL TIRES & FLUIDS,1199.78,0,1199.78
2143,02/09/2015 12:00:00 AM,14516,50903,353,04    DRIVER'S REPORT,LEFT REAR FLAT TIRE,996.84,0,996.84
2111,01/28/2015 12:00:00 AM,14385,1243,116,04    DRIVER'S REPORT,NEEDS A 55 GALLON DRUM OF 15W40/10W40/PICKED UP BY PREZ,996.05,0,996.05
2111,01/30/2015 12:00:00 AM,14298,68933,148,13    SNOW BREAKDOWN,DONT BUILD UP AIR PRESSHARD STARTING,987.57,0,987.57
2111,02/10/2015 12:00:00 AM,14414,337658,239,38    WARRANTY,HYD LEAK UNDER CAB,973,0,973
2111,02/24/2015 12:00:00 AM,14238,621924,210,38    WARRANTY,REAR WHEEL SEALS & BRAKES,949.15,0,949.15
2111,02/06/2015 12:00:00 AM,14466,68932,147,13    SNOW BREAKDOWN,CHECK STARTER CHECK CHARGING SYSTEMADJUST CONVEYOR,920.83,0,920.83
2143,02/04/2015 12:00:00 AM,14406,5694,368,04    DRIVER'S REPORT,FLAT TIRE RIGHT REAR,917.5,0,917.5
2143,01/14/2015 12:00:00 AM,14171,50551,361,08    PM SERVICE              ***,CHECK BRAKES.P.M.  INSPECTION.FOG LIGHTS.AIR HORN PROBLEM.RIGHT DOOR LIGHT.,900.13,0,900.13
2111,01/30/2015 12:00:00 AM,14392,1400,227,13    SNOW BREAKDOWN,CONVEYOR BELT NOT WORKING,895.54,0,895.54
2141,01/20/2015 12:00:00 AM,14251,965476,389,04    DRIVER'S REPORT,ANTI FREEZE LEAKCHECK FRONT SPRINGS,893.12,0,893.12
2111,03/02/2015 12:00:00 AM,14589,1227,241,13    SNOW BREAKDOWN,NO REAR BRAKESUNIT WAS TOWED INTO SHOP FROM HAIG AVEEAST COAST TOWING,887.4,0,887.4
2143,02/13/2015 12:00:00 AM,14517,B90933      ,34,04    DRIVER'S REPORT,PM SERVICE FRONT WHEEL BEARING NOISEBRAKESWHEN FUELING FUEL BACKS UP,848.48,0,848.48
2141,02/09/2015 12:00:00 AM,14507,B20086      ,30,04    DRIVER'S REPORT,REPLACE ALL TIRES,816.27,0,816.27
2116,01/09/2015 12:00:00 AM,14387,704097,262,07    IN SERVICE (PREP NEW VEHICLE OR EQUIP),INSTALLATION OF NEW RADIO NORTHEASTERN COMMUNICATIONINVOICE 1025403$767.08,767.08,0,767.08
2111,02/12/2015 12:00:00 AM,14072,A64221      ,614,04    DRIVER'S REPORT,LIGHT BAR NOT WORKING PROPERLY,766.25,0,766.25
2143,01/07/2015 12:00:00 AM,13830,50552,359,04    DRIVER'S REPORT,", BACK-UP CAMERA DO  NOT WORK",741.4,0,741.4
2111,03/26/2015 12:00:00 AM,14725,B31276      ,177,04    DRIVER'S REPORT,CHECK FRONT TIRES,733.92,0,733.92
2143,01/28/2015 12:00:00 AM,14317,B90933      ,34,04    DRIVER'S REPORT,TIRES ALL 4,728.4,0,728.4
2111,02/19/2015 12:00:00 AM,14552,1366,242,04    DRIVER'S REPORT,ADJUST REAR BRAKES,701,0,701
2111,03/16/2015 12:00:00 AM,14573,1400,227,13    SNOW BREAKDOWN,SIDE DUMP DOESNT MOVEPTO PUMPREPLACE DICKYJOHN SYSTEM,694.85,0,694.85
2111,03/27/2015 12:00:00 AM,14520,    K01711  ,180,13    SNOW BREAKDOWN,NOT CHARGING,656.07,0,656.07
2143,01/14/2015 12:00:00 AM,14207,48877,373,04    DRIVER'S REPORT,HOPPER PISTON BROKEN,654.67,0,654.67
2111,03/02/2015 12:00:00 AM,14522,68932,147,13    SNOW BREAKDOWN,CONVEYOR CHAIN BROKE,650,0,650
2143,01/20/2015 12:00:00 AM,14253,49616,351,04    DRIVER'S REPORT,RIGHT FRONT TIRE SLOW LEAKSTARTS HARD IN AMCHECK TRANS FLUID,638.39,0,638.39
2111,02/13/2015 12:00:00 AM,14528,1758,123,13    SNOW BREAKDOWN,CONVEYOR CHAIN BROKEN,635,0,635
2111,02/13/2015 12:00:00 AM,14434,1366,242,40    NEGLIGENCE,BROKEN AXLE ON DOOLITTLE RD,622.70,0,622.70
2111,02/04/2015 12:00:00 AM,14454,B31276      ,177,13    SNOW BREAKDOWN,R/R TIRE FLAT,616.96,0,616.96
2111,02/09/2015 12:00:00 AM,14521,621923,211,13    SNOW BREAKDOWN,L/F TIRE LOW,613.89,0,613.89
2111,02/03/2015 12:00:00 AM,14459,1467,121,04    DRIVER'S REPORT,RIGHT FRONT FLAT TIRE,611.5,0,611.5
2111,01/20/2015 12:00:00 AM,14254,B31275      ,110,04    DRIVER'S REPORT,SHIFTES HARDWATER IN FUEL LIGHT ONCHECK PLOW FRAME,605.79,0,605.79
2143,03/09/2015 12:00:00 AM,14798,4830,354,29    ACCIDENT,UNIT INVOLCVED IN ACCIDENTTOWED BY BILLS TOWING TO SUPERIOR SPRINGINVOICE 162767$600.00,600,0,600
2111,02/18/2015 12:00:00 AM,14594,D33712      ,7,01    BREAKDOWN            ***,UNIT WAS TOWED FROM WILTO TO VEHICLE MAINTENANCE                  BROKEN WINDSHIELDTOWED BY MY WAY AUTO BODYINVOICE 8189$130.00BINKS AUTO GLASS REPLACE WINDSHIELDINVOICE 0007$440.00,570,0,570
2111,02/27/2015 12:00:00 AM,14646,68936,145,13    SNOW BREAKDOWN,PLOW CHAIN BROKENENGINE HAS NO POWERHINES IHINVOICE #27288$525.1,565.1,0,565.1
2135,03/02/2015 12:00:00 AM,14632,555359,596,13    SNOW BREAKDOWN,ROAD CALL TO PARKS DEPTHYD LEAK,554.4,0,554.4
2111,01/29/2015 12:00:00 AM,14404,A19527      ,613,01    BREAKDOWN            ***,NO POWERGABRIELLI MACKINVOICE 84146MS$549.58,549.58,0,549.58
2135,01/20/2015 12:00:00 AM,14197,555359,596,04    DRIVER'S REPORT,EXHUST LEAKAIR LEAKCHECK LIGHTS,546.81,0,546.81
2111,02/22/2015 12:00:00 AM,14642,Y11540      ,186,40    NEGLIGENCE,BROKEN WINDOW AND MIRROR RIGHT SIDE,544.74,0,544.74
2143,02/03/2015 12:00:00 AM,14463,B20089      ,31,01    BREAKDOWN            ***,"UNIT WON'T RUN, BROUGHT OVER TO STAMFORD FORDREPLACE MASS AIR FLOW SENSORSTAMFORD FORDINVOICE #292308$500.61",500.61,0,500.61
2143,02/18/2015 12:00:00 AM,14601,4830,354,01    BREAKDOWN            ***,UNIT BROKE DOWN AND HAD TO BE TOWED TO GABRIELLI MACK IN MILFORDEAST COAST TOWING iNV.#14509$500.00,500,0,500
2135,02/25/2015 12:00:00 AM,14585,C36322      ,415,08    PM SERVICE              ***,PM SERVICE,498.94,0,498.94
2111,03/02/2015 12:00:00 AM,14639,1224,222,13    SNOW BREAKDOWN,ROAD CALL TOWN YARDNOISE IN REAR TIRES FALLEN OFFTOWED IN BY BILLS SERVICEINVOICE # 161149$175.00,496.24,0,496.24
1020,01/06/2015 12:00:00 AM,14073,118743,14,04    DRIVER'S REPORT,"PM SERVICE, CHECK TURN SIGNAL, CLUNKING NOISE WHEN DRIVING",493.85,0,493.85
2111,02/19/2015 12:00:00 AM,14444,526000,225,13    SNOW BREAKDOWN,HYD LEAK UNDER CAB,489.69,0,489.69
2135,02/09/2015 12:00:00 AM,14514,512810,50,07    IN SERVICE (PREP NEW VEHICLE OR EQUIP),INSTALLATION OF NEW RADIO INVOIC E1025544$485.08,485.08,0,485.08
2135,02/09/2015 12:00:00 AM,14515,512606,51,07    IN SERVICE (PREP NEW VEHICLE OR EQUIP),NEW RADIO INSTALLNORTHEASTERN COMMUNICATIONINVOICE 1025544$485.08,485.08,0,485.08
2143,02/24/2015 12:00:00 AM,14657,B20091      ,35,40    NEGLIGENCE,needs d/s  mirror/lotts,473.68,0,473.68
2111,03/06/2015 12:00:00 AM,14757,1469,122,13    SNOW BREAKDOWN,LEFT REAR INNER FLAT TIRE,472.55,0,472.55
2111,01/15/2015 12:00:00 AM,14225,1466,124,40    NEGLIGENCE,ROAD CALLTOWED INBROKEN AXLE,469.29,0,469.29
2111,03/09/2015 12:00:00 AM,14676,393533,205,13    SNOW BREAKDOWN,CONTAINER LOCK PINSWELD LOCKING SUPPORT ON ROLL OFFARMSTRONG WELDINGINVOICE 3222015$460.00,460,0,460
2111,01/30/2015 12:00:00 AM,14390,1402,228,13    SNOW BREAKDOWN,RIGHT REAR INSIDE TIRE FLATCHECK REAR LIGHTS,456.33,0,456.33
2111,03/16/2015 12:00:00 AM,14700,1226,117,13    SNOW BREAKDOWN,CHECK ANTIFREEZE  &  BENT SPINNER ASSY,448.96,0,448.96
2111,01/30/2015 12:00:00 AM,14344,337658,239,13    SNOW BREAKDOWN,WINDOWS DONT WORK,447.87,0,447.87
2111,01/20/2015 12:00:00 AM,14243,1223,220,13    SNOW BREAKDOWN,CONVOYOR ADJUSTER NOT WORKING,420.49,0,420.49
2135,01/14/2015 12:00:00 AM,14067,D12434      ,450,08    PM SERVICE              ***,"PM, SERVICE, CHECK ALL FLUID, HYDRA LEAK ON PLOW. PLOW DOES NOT MOVE. FLASHER LIGHT NEEDED ON TOP OF UNIT.",418.34,0,418.34
2142,02/19/2015 12:00:00 AM,14473,49617,352,04    DRIVER'S REPORT,NO POWER SPOT MIRRORTHROLLE FOR HOPPER STICKING,412.56,0,412.56
2111,03/26/2015 12:00:00 AM,14634,1469,122,13    SNOW BREAKDOWN,BROKEN REAR AXLE,402.1,0,402.1
2143,01/07/2015 12:00:00 AM,14186,50552,359,40    NEGLIGENCE,BROKEN RIGHT SIDE WINDSHIELDBINKS GLASSINVOICE #$400.00,400,0,400
2111,02/18/2015 12:00:00 AM,14600,68936,145,01    BREAKDOWN            ***,UNIT WAS TOWED TO HINES IH IN BRIDGEPORTEAST COAST TOWINGINVOICE 14511$400.00,400,0,400
2135,01/06/2015 12:00:00 AM,13941,-2021,,04    DRIVER'S REPORT,"COMPLETE SERVICE,UNIT MOVES VERY SLOWLY",398.09,0,398.09
2111,01/14/2015 12:00:00 AM,14220,337656,219,13    SNOW BREAKDOWN,RIGHT REAR AXLE SEAL LEAKING,397.87,0,397.87
2111,03/06/2015 12:00:00 AM,14698,B34633      ,278,13    SNOW BREAKDOWN,"CHECK L/REAR OUTER TIRE, FLATHOSE FOR TOWN YARD WASH BAY/JIM TORECK",395.8,0,395.8
2111,01/06/2015 12:00:00 AM,14000,766153,248,08    PM SERVICE              ***,"NEED SERVICE, CHECK BRAKES",387.17,0,387.17
2111,03/16/2015 12:00:00 AM,14808,B34630      ,168,04    DRIVER'S REPORT,FUEL GAUGE DO NOT WORK,384.89,0,384.89
2111,01/30/2015 12:00:00 AM,14337,1224,222,13    SNOW BREAKDOWN,HYD LEAKSPOT MORROR RIGHT SIDE,370.52,0,370.52
2111,02/13/2015 12:00:00 AM,14536,B31276      ,177,13    SNOW BREAKDOWN,L/R FLAT TIRE,369.35,0,369.35
2111,02/06/2015 12:00:00 AM,14495,D14803      ,611,04    DRIVER'S REPORT,RIGHT REAR TIRE FLAT,366.96,0,366.96
2111,02/17/2015 12:00:00 AM,14564,B34631      ,277,04    DRIVER'S REPORT,FLAT TIRE L/R OUTTER,366.96,0,366.96
2111,01/14/2015 12:00:00 AM,14139,L00343      ,281,10    ROADCALL,HYD LEAK,358.58,0,358.58
2111,02/19/2015 12:00:00 AM,14452,621908,125,13    SNOW BREAKDOWN,HYD LEAK UNDER CAB,353.28,0,353.28
2111,02/11/2015 12:00:00 AM,14465,110294,608,40    NEGLIGENCE,CHECK BROOMCHECK STROBE LIGHTSREPLACE FRONT TIRE,350,0,350
2111,03/26/2015 12:00:00 AM,14906,110301,607,10    ROADCALL,LEFT FRONT FLAT TIRE,350,0,350
2139,03/30/2015 12:00:00 AM,14794,166478,68,04    DRIVER'S REPORT,CHECK ALL GAUGES  (FUEL GAUGE DO NOT WORK),348.26,0,348.26
2143,01/20/2015 12:00:00 AM,14047,B20089      ,31,04    DRIVER'S REPORT,BLOWER MOTOR NOT WORKING,340.78,0,340.78
2111,02/24/2015 12:00:00 AM,14482,621921,214,10    ROADCALL,ROAD CALL TRUCK WILL NOT MOVE,340.72,0,340.72
2111,03/27/2015 12:00:00 AM,14416,K01711      ,180,10    ROADCALL,DONT START,324.8,0,324.8
2142,01/07/2015 12:00:00 AM,14195,718765,337,04    DRIVER'S REPORT,PARTS FOR ARM,319.48,0,319.48
2139,03/02/2015 12:00:00 AM,14560,B00195      ,646,04    DRIVER'S REPORT,R/R FLAT,312.39,0,312.39
2111,03/26/2015 12:00:00 AM,14842,P2115D      ,152,04    DRIVER'S REPORT,NEEDS HYDRANT HOSE/RONNY CAPP/PETE,312.11,0,312.11
2111,01/21/2015 12:00:00 AM,14103,B31276      ,177,04    DRIVER'S REPORT,"PLOW FRAME CRACKED, SPINNER NEED TO BE INSTALLEDARMSTRONG WELDINGINVOICE 21212$300.",310,0,310
2135,02/04/2015 12:00:00 AM,14403,735093,,04    DRIVER'S REPORT,PM SERVICE,305.31,0,305.31
2143,03/16/2015 12:00:00 AM,14617,5694,368,04    DRIVER'S REPORT,CHECK BRAKESCHECK FLUIDS,303.59,0,303.59
